TowNum,Tow Address,Tow Firm,Firm Address,Firm Phone,Vehicle State,Vehicle Plate,Year,Make,Model,Color,Date ,Time
304069,  50 WILLARD ST,CENTRAL GARAGE," 36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,512YPD,2005,ACURA,RL,GRAY,2012015,333
304070, 142 CLARK ST,A & N AUTO," 1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,9ARHP4,1996,MERCURY,MARQUIS,TAN,2012015,342
304078,  80 POPE PARK HWY,CAPITOL AUTOMOTIVE LLC," 971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,9ALSE5,2006,HONDA,ODYSSEY,BLUE,2012015,835
304079,  80 POPE PARK HWY,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2010,CHEVROLET,CAMARO,BLACK,2012015,835
304083,  39 CHARTER OAK PL,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,2AFMB5,2004,KIA,OPTIMA,RED,2012015,15
304084,  20 CHARTER OAK PL,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,820RWH,2002,NISSAN,MAXIMA,TAN,2012015,16
304085,  16 GROTON ST,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,6ALJL7,2004,NISSAN,MAXIMA,TAN,2012015,20
304086,  16 GROTON ST,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,6ALFA4,2014,NISSAN,ALTIMA,BLU,2012015,25
304087,  36 GROTON ST,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,4AAER6,2004,CHEVY,VENTURE,GRY,2012015,25
304088,  41 LISBON ST,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,MA,2DV325,2015,DODGE,DART,GRY,2012015,33
304089,  25 NORWICH ST,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,5ADVD1,2007,HONDA,ACCORD,GRY,2012015,37
304090,  16 PATSIE WILLIAMS WAY,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,476ZPD,2009,NISSAN,MAXIMA,GRY,2012015,40
304091,  77 WYLLYS ST,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,144ZNL,1993,TOYOTA,COROLLA,BRO,2012015,48
304092,  77 WYLLYS ST,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,9AGJF7,2002,OLDS,BRAVADA,BLU,2012015,50
304093, 530 BROAD ST,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,NY,GGM1879,2013,FORD,FUSION,GRY,2012015,108
304094, 686 BROAD ST,BENTON AUTO BODY," 155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,8AHBE8,2004,CHEV,BLAZER,WHI,2012015,109
304095, 809 BROAD ST,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,451NHA,1999,JEEP,CHEROKEE,BLK,2012015,112
304096, 883 BROAD ST,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,9ANBN2,2004,HYNDAI,ELANTRA,BLK,2012015,2358
304097, 883 BROAD ST,BENTON AUTO BODY," 155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,MS,DFM918,1998,TOYT,4 RUNNER,BLK,2012015,2358
304098, 883 BROAD ST,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,TX,2482AU,1997,FORD,F150,RED,2012015,2358
304099, 980 BROAD ST,BENTON AUTO BODY," 155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,MA,345ZM6,2014,TOYT,COROLLA,RED,2012015,2358
304100,1090 BROAD ST,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2004,HOND,PILOT,BLK,2012015,2358
304101,1090 BROAD ST,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,4APRE2,1998,BUICK,REGAL,GRN,2012015,2358
304103,1640 BROAD ST,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,3ANAU3,2014,NISS,MAX,BLK,2012015,2359
304104,1640 BROAD ST,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,4AKUM5,1992,TOYT,CAMRY,TAN,2012015,2359
304105,1640 BROAD ST,BENTON AUTO BODY," 155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,9AKEU0,1999,NISS,QUEST,GRY,2012015,2359
304106,   2 ALLEN PL,BENTON AUTO BODY," 155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,366ZXJ,2004,HONDA,CIVC,GRY,2012015,2359
304107,  22 ALLEN PL,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,4AFKK2,2003,HOND,ACC,GRY,2012015,2359
304108,  34 ALLEN PL,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,1N732,1993,SUBA,LEGACY,BLU,2022015,0
304109,  48 ALLEN PL,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,3APEG9,2001,TOYT,CAMRY,WHT,2022015,0
304110, 148 ALLEN PL,BENTON AUTO BODY," 155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,0AGNG9,2003,MITS,ECLIPSE,BLK,2022015,0
304111, 140 ALLEN PL,BENTON AUTO BODY," 155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,TN,J9879P,2013,MAZDA,3,GRY,2022015,0
304112, 142 ALLEN PL,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,1AEFH1,2002,HYUN,ELANTRA,GRY,2022015,0
304113,  62 ALBANY AV,CROSS COUNTRY AUTO," 585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,5ARGV2,2000,HONDA,ACCORD,BLK,2022015,2358
304114,  62 ALBANY AV,CROSS COUNTRY AUTO," 585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,4AKJG6,2004,CHEVY,VENTURE,GRY,2022015,15
304115,  88 CHESTNUT ST,CAPITOL TOWING," 181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,124YZS,2002,JEEP,GR CHEROKE,GRY,2022015,23
304116, 100 CHESTNUT ST,CAPITOL TOWING," 181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,2AALD1,1996,MERCURY,SABLE,RED,2022015,30
304117, 100 CHESTNUT ST,CROSS COUNTRY AUTO," 585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,6APLT2,2001,FORD,TAURUS,BLU,2022015,33
304118,  69 EDWARDS ST,CROSS COUNTRY AUTO," 585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,1AGSX3,2004,NISSAN,MAXIMA,TAN,2022015,40
304119,  29 WILLIAMS ST,CAPITOL TOWING," 181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,8AKUP7,1995,HONDA,ACCORD,WHI,2022015,43
304120,  21 WILLIAMS ST,CROSS COUNTRY AUTO," 585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,1AMEG6,2000,NISSAN,QUEST,GRN,2022015,47
304121,   1 LIBERTY ST,CAPITOL TOWING," 181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,6ARHT6,1995,TOYOTA,TERCEL,RED,2022015,51
304122, 369 ALBANY AV,CAPITOL TOWING," 181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,537ZVP,2007,DODGE,CHARGER,BLK,2022015,100
304123,  88 EDGEWOOD ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,179ZRU,2003,NISSAN,MURANO,BLU,2022015,11
304124,  88 EDGEWOOD ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,501ZNV,2009,HONDA,ACCORD,BLK,2022015,34
304125,  80 STERLING ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,NY,GTR3687,2015,HYUNDAI,SONOTA,GRY,2022015,2
304126,  64 STERLING ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,MA,441RA1,2014,NISSAN,MAXIMA,GRY,2022015,2
304127,  80 OAKLAND TER,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,490YNZ,1994,OLDS,CUTLASS,GRN,2022015,208
304128,  24 OAKLAND TER,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,509YOF,2001,HONDA,ACCORD,TAN,2022015,237
304129,  10 DEERFIELD AV,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,8AJBF8,1996,HONDA,ACCORD,TAN,2022015,253
304130,  66 DEERFIELD AV,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,924ZVA,2006,ACURA,RL,GRY,2022015,307
304131,  51 LENOX ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,2AMUE3,2001,MITSBUISHI,GALANT,WHI,2022015,326
304132,  66 LENOX ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,561XSO,2006,CHRYSLER,TOWN&COUNT,BLU,2022015,326
304133, 129 CUMBERLAND ST,A & N AUTO," 1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,271ZPX,1989,DODGE,DYNASTY,TAN,2022015,4
304134,  11 SOMERS ST,A & N AUTO," 1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,157ZFG,2012,TOYOTA,COROLLA,BLACK,2022015,4
304135, 257 MOUNTAIN ST,A & N AUTO," 1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,4AFXF7,2001,CADILAC,CATERA,RED,2022015,4
304136, 175 HARVARD ST,CAPITOL AUTOMOTIVE LLC," 971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,314ZLC,1997,TOYOTA,AVALON,TAN,2022015,4
304137,  92 HARVARD ST,CAPITOL AUTOMOTIVE LLC," 971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,313ZYH,2012,NISSAN,ALTIMA,BLACK,2022015,4
304140,  25 HARVARD ST,A & N AUTO," 1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,4ARNP4,2004,NISS,ALTIMA,BLK,2022015,4
304141,  92 ROGER ST,A & N AUTO," 1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,993ZLR,2004,HYUN,XG350,GRY,2022015,4
304142,  76 NILAN ST,A & N AUTO," 1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,2AKUP1,2002,NISSAN,SENTRA,TAN,2022015,4
304143,  66 EDGEWOOD ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,3ADUF5,2004,INFINITI,I35,GRY,2022015,11
304144,  17 EDGEWOOD ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,YR4456,1998,NISS,MAXIMA,TAN,2022015,12
304145,  74 STERLING ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,PA,HWZ6080,1997,PLYMOTH,SW,GREEN,2022015,12
304147,  47 OAKLAND TER,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,561XPJ,2001,SUBARU,FORRESTER,RED,2022015,12
304148,  47 OAKLAND TER,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,802ZZA,2007,NISSAN,ALTIMA,GRY,2022015,12
304149,  58 CABOT ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,4AHNM1,2005,TOYOTA,COROLLA,GRY,2022015,105
304150,  46 LENOX ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,3AKET7,2001,DODGE,CARAVAN,WHI,2022015,403
304151, 901 TOWER AV,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,MA,2AA313,2014,FORD,FUSION,GRAY,2022015,13
304152,  43 BALTIC ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,0ABJM3,2001,HONDA,ACCORD,WHITE,2022015,13
304153,   9 FREDERICK ST,WHITEY'S FRAME SHOP," 305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,388XPE,2005,ACURA,TSX  4DR,GRY,2022015,13
304154, 141 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,688ZUD,2013,TOYOTA,COROLLA,BLK,2022015,23
304155, 141 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,9ASDH1,2004,PONTIAC,MONTANA,RED,2022015,25
304156, 141 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,5ARBM3,2012,HYUNDAI,SONATA,BLU,2022015,45
304157, 141 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,3AFHH3,2007,NISSAN,MAXIMA,TAN,2022015,52
304158, 167 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,NY,GLP6654,2005,MAZDA,6,ORG,2022015,107
304159, 167 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,387ZED,1999,HONDA,ODYSSEY,BRO,2022015,116
304160, 151 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,8APMA5,2002,TOYOTA,SEQUOIA,GRY,2022015,132
304161, 221 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,5AKJV6,2008,SCION,TC,BLK,2022015,147
304162, 221 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,7AEEP0,2009,HONDA,ACCORD,BLU,2022015,157
304163, 235 COLLINS ST,"CORONA'S AUTO PARTS,INC.", 608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,2AEJP0,2007,NISSAN,ALTIMA,GRY,2022015,216
304164,  92 VICTORIA RD,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,6CL303,2012,CHEVR,E35,BLU,2022015,16
304165, 140 VICTORIA RD,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,1AFKL6,2003,CHEV,IMPALA,WHITE,2022015,16
304166,   1 VICTORIA RD,CAPITOL AUTOMOTIVE LLC," 971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,560UBZ,2002,MITSU,GALANT,GRY,2022015,16
304167, 166 CAPITOL AV,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,9ANMK8,2000,HONDA,CIVIC,GRN,2022015,16
304168,   1 VICTORIA RD,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,6AESM8,2008,HOND,ODYSSEY,GRY,2022015,16
304171,  32 CHESTER ST,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,05CR79,2005,FORD,X14,BLUE,2022015,17
304172,  58 EATON ST,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,439TRA,2012,DODGE,AVENGER,GRY,2022015,17
304173,  58 EATON ST,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,569ZEL,2002,TOYT,CAMRY,RED,2022015,17
304174,  95 MAPLE AV,METRO AUTOBODY & TOWING INC, 722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,741ZYL,2002,FORD,FOCUS,GRY,2022015,22
304175,  95 MAPLE AV,METRO AUTOBODY & TOWING INC, 722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,221ZDA,2003,ACUR,3 2TL,BLK,2022015,22
304176,  40 ESSEX ST,METRO AUTOBODY & TOWING INC, 722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,246ZYA,2008,SAA,93,BLK,2022015,22
304179,  39 PAWTUCKET ST,METRO AUTOBODY & TOWING INC, 722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,124TUT,2004,TOYT,4RUNNER,WHITE,2022015,22
304182,  57 SHULTAS PL,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,713ZPX,1992,TOYT,COROLLA,WHITE,2022015,22
304183,  57 SHULTAS PL,METRO AUTOBODY & TOWING INC, 722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,9555CZ,2000,BMW,528I,BLUE,2022015,22
304184, 157 WETHERSFIELD AV,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,L6187L,2006,DODGE,STRATUS,WHI,2022015,108
304185, 155 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,1AMAH9,1996,HONDA,CIVIC,GRN,2022015,109
304186, 149 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,5AEFK8,2003,VOLKSWAGON,JETTA,GRN,2022015,112
304187, 306 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,188NLA,2000,HONDA,ACCORD,BLK,2022015,130
304188, 297 WETHERSFIELD AV,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,828ZXY,2006,CADILLAC,STS,BLK,2022015,127
304189, 306 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,896YSJ,2006,ACURA,MDX,BLK,2022015,130
304190, 306 WETHERSFIELD AV,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,5AKES8,2002,NISSAN,ALTIMA,GRY,2022015,130
304191, 415 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,5AGWD0,2011,HONDA,CIVIC,BLK,2022015,144
304192, 415 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,3ADHB7,2002,ACURA,TL,GRY,2022015,145
304194, 468 WETHERSFIELD AV,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,2ALEF8,2001,NISSAN,SENTRA,TAN,2022015,155
304195, 186 WETHERSFIELD AV,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,IA,SG2826,2006,FREIGHTLIN,TT,WHI,2022015,210
304196, 487 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,4ABNM7,2010,HYUNDAI,SANTE FE,BLK,2022015,220
304197, 554 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,8AFUU9,2002,MITSBUISHI,GALANT,BLK,2022015,228
304198, 545 WETHERSFIELD AV,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,5AJBB4,2007,HONDA,ACCORD,GRY,2022015,232
304199, 545 WETHERSFIELD AV,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,8APMM7,2003,KIA,SEDONA,BLK,2022015,230
304200, 555 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,4045DB,2001,DODGE,DAKOTA,RED,2022015,230
304201, 570 WETHERSFIELD AV,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,403ZXJ,2006,SUBARU,TRIBECA,GRY,2022015,240
304202,  37 EAST ELLIOTT ST,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,8AJBF4,2006,TOYOTA,SCION,RED,2022015,57
304203, 276 WAWARME AV,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,0ARHS7,2001,VOLVO,S80,BLACK,2022015,57
304204,  58 EATON ST,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,7AMUA6,2000,NISS,ALTIMA,GRY,2022015,100
304205, 900 WETHERSFIELD AV,RENO'S AUTO BODY," 525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,204XXV,2002,VOLKSWAGON,JETTA,GRY,2022015,16
304206, 453 ALBANY AV,CROSS COUNTRY AUTO," 585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2007,NISSAN,ALTIMA,GRY,2022015,112
304207,  47 BEDFORD ST,CAPITOL TOWING," 181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,9AMEE8,2003,MAZDA,6,YELLOW,2022015,112
